steps_number time
100.0 9.79326987267
402.020202020202 10.2028694153
704.040404040404 10.5045924187
1006.060606060606 10.8082220554
1308.080808080808 11.162607193
1610.1010101010102 11.3452057838
1912.121212121212 11.5526497364
2214.1414141414143 11.8277859688
2516.161616161616 12.207703352
2818.181818181818 12.3697924614
3120.2020202020203 12.6079206467
3422.222222222222 12.8925044537
3724.242424242424 13.1364517212
4026.2626262626263 13.3689463139
4328.282828282829 13.5586121082
4630.30303030303 59.6120707989
4932.323232323232 59.9954581261
5234.343434343435 61.3230628967
5536.363636363636 62.5391924381
5838.383838383838 62.8965108395
6140.404040404041 64.4202992916
6442.424242424242 65.7474546432
6744.444444444444 65.9495260715
7046.464646464647 67.5938131809
7348.484848484848 68.3180837631
7650.50505050505 68.6730747223
7952.525252525253 69.6404829025
8254.545454545456 70.7865483761
8556.565656565657 72.7120480537
8858.585858585859 73.1783869267
9160.60606060606 74.3281700611
9462.626262626263 75.4597520828
9764.646464646465 76.3662645817
10066.666666666666 82.4121892452
10368.68686868687 82.7887866497
10670.70707070707 83.7362530231
10972.727272727272 85.0349442959
11274.747474747475 85.6976511478
11576.767676767677 86.9679732323
11878.787878787878 87.9927835464
12180.808080808081 88.3666017056
12482.828282828283 90.3905296326
12784.848484848484 90.7222602367
13086.868686868687 92.1170072556
13388.888888888889 93.1159834862
13690.90909090909 93.1723687649
13992.929292929293 93.9545061588
14294.949494949495 94.9848213196
14596.969696969696 95.6346871853
14898.9898989899 97.1555788517
15201.0101010101 97.4263720512
15503.030303030304 98.412209034
15805.050505050505 99.9871237278
16107.070707070707 101.390290976
16409.09090909091 102.007939816
16711.11111111111 102.630884647
17013.131313131315 103.618179798
17315.151515151516 104.215206385
17617.171717171717 105.766956568
17919.19191919192 106.820007563
18221.21212121212 108.138806343
18523.23232323232 109.707324266
18825.252525252527 109.533020973
19127.272727272728 110.818637848
19429.29292929293 122.396587372
19731.31313131313 121.718589067
20033.333333333332 121.665462017
20335.353535353537 122.587626457
20637.37373737374 125.912897348
20939.39393939394 126.301655054
21241.41414141414 127.621633291
21543.434343434343 126.512788057
21845.454545454544 121.79830265
22147.47474747475 122.43123889
22449.49494949495 123.747234583
22751.515151515152 125.326375246
23053.535353535353 125.350212574
23355.555555555555 131.77067256
23657.575757575756 133.44825387
23959.59595959596 135.152297735
24261.616161616163 136.461416245
24563.636363636364 137.020517111
24865.656565656565 138.249393702
25167.676767676767 138.3101933
25469.696969696968 138.647162676
25771.717171717173 141.808320761
26073.737373737375 141.537970781
26375.757575757576 145.16882658
26677.777777777777 144.559996367
26979.79797979798 145.390967131
27281.81818181818 146.438824654
27583.838383838385 148.864701748
27885.858585858587 148.061851978
28187.878787878788 148.691401243
28489.89898989899 150.139169931
28791.91919191919 150.221323967
29093.939393939392 152.082371712
29395.959595959597 153.42228508
29697.9797979798 154.993939638
30000.0 156.773686886
